"Plot Title: G9903339_RSA_Robokelp_Apr15"
"#","Date Time, GMT+08:00","X Accel, g (LGR S/N: 9903339, SEN S/N: 9903339)","Y Accel, g (LGR S/N: 9903339, SEN S/N: 9903339)","Z Accel, g (LGR S/N: 9903339, SEN S/N: 9903339)","End Of File (LGR S/N: 9903339)"
1,04/25/15 05:00:00 AM,0.975,-0.075,-0.175,
2,04/25/15 05:00:05 AM,0.975,0.075,-0.200,
3,04/25/15 05:00:10 AM,0.975,0.000,-0.175,
4,04/25/15 05:00:15 AM,0.975,0.025,-0.250,
5,04/25/15 05:00:20 AM,0.975,-0.075,-0.125,
6,04/25/15 05:00:25 AM,0.975,-0.025,-0.175,
7,04/25/15 05:00:30 AM,0.975,-0.075,-0.175,
8,04/25/15 05:00:35 AM,0.975,0.000,-0.300,
9,04/25/15 05:00:40 AM,0.975,0.025,-0.175,
10,04/25/15 05:00:45 AM,0.950,0.025,-0.275,
11,04/25/15 05:00:50 AM,0.975,0.025,-0.225,
12,04/25/15 05:00:55 AM,0.975,-0.075,-0.175,
13,04/25/15 05:01:00 AM,0.975,0.075,-0.275,
14,04/25/15 05:01:05 AM,0.975,-0.075,-0.075,
15,04/25/15 05:01:10 AM,0.975,0.000,-0.225,
16,04/25/15 05:01:15 AM,0.975,-0.025,-0.150,
17,04/25/15 05:01:20 AM,0.975,-0.075,-0.075,
18,04/25/15 05:01:25 AM,0.975,0.100,-0.125,
19,04/25/15 05:01:30 AM,0.975,-0.100,-0.100,
20,04/25/15 05:01:35 AM,0.975,0.075,-0.225,
21,04/25/15 05:01:40 AM,0.975,-0.125,-0.075,
22,04/25/15 05:01:45 AM,0.950,0.175,-0.275,
23,04/25/15 05:01:50 AM,0.975,-0.025,-0.150,
24,04/25/15 05:01:55 AM,0.950,0.075,-0.225,
25,04/25/15 05:02:00 AM,0.975,-0.025,-0.125,
26,04/25/15 05:02:05 AM,0.975,0.000,-0.250,
27,04/25/15 05:02:10 AM,0.975,-0.025,-0.075,
28,04/25/15 05:02:15 AM,0.975,0.000,-0.175,
29,04/25/15 05:02:20 AM,0.975,0.000,-0.125,
30,04/25/15 05:02:25 AM,0.975,-0.025,-0.125,
31,04/25/15 05:02:30 AM,0.975,-0.050,-0.175,
32,04/25/15 05:02:35 AM,0.975,-0.075,0.025,
33,04/25/15 05:02:40 AM,0.950,0.075,-0.350,
34,04/25/15 05:02:45 AM,0.975,-0.050,-0.025,
35,04/25/15 05:02:50 AM,0.950,0.075,-0.350,
36,04/25/15 05:02:55 AM,0.975,-0.025,-0.100,
37,04/25/15 05:03:00 AM,0.975,-0.025,-0.225,
38,04/25/15 05:03:05 AM,0.975,0.025,-0.075,
39,04/25/15 05:03:10 AM,0.975,0.075,-0.250,
40,04/25/15 05:03:15 AM,0.975,-0.075,-0.200,
41,04/25/15 05:03:20 AM,0.975,-0.075,-0.225,
42,04/25/15 05:03:25 AM,0.975,0.150,-0.175,
43,04/25/15 05:03:30 AM,0.975,-0.100,-0.125,
44,04/25/15 05:03:35 AM,0.925,0.125,-0.375,
45,04/25/15 05:03:40 AM,0.975,-0.150,-0.025,
46,04/25/15 05:03:45 AM,0.950,0.050,-0.275,
47,04/25/15 05:03:50 AM,0.975,0.025,-0.075,
48,04/25/15 05:03:55 AM,0.975,0.025,-0.125,
49,04/25/15 05:04:00 AM,0.950,0.075,-0.300,
50,04/25/15 05:04:05 AM,0.975,-0.150,0.050,
51,04/25/15 05:04:10 AM,0.975,0.125,-0.225,
52,04/25/15 05:04:15 AM,0.975,-0.100,0.000,
53,04/25/15 05:04:20 AM,0.975,-0.150,-0.200,
54,04/25/15 05:04:25 AM,0.975,-0.050,-0.125,
55,04/25/15 05:04:30 AM,0.975,-0.075,-0.125,
56,04/25/15 05:04:35 AM,0.975,-0.025,-0.100,
57,04/25/15 05:04:40 AM,0.975,-0.075,-0.125,
58,04/25/15 05:04:45 AM,0.975,0.025,-0.175,
59,04/25/15 05:04:50 AM,0.975,-0.175,-0.125,
60,04/25/15 05:04:55 AM,0.975,0.025,-0.225,
61,04/25/15 05:05:00 AM,0.975,-0.075,-0.075,
62,04/25/15 05:05:05 AM,0.975,0.025,-0.175,
63,04/25/15 05:05:10 AM,0.975,-0.025,-0.050,
64,04/25/15 05:05:15 AM,0.975,0.050,-0.225,
65,04/25/15 05:05:20 AM,0.975,0.025,-0.200,
66,04/25/15 05:05:25 AM,0.975,0.000,-0.200,
67,04/25/15 05:05:30 AM,0.975,0.100,-0.225,
68,04/25/15 05:05:35 AM,0.975,-0.075,0.000,
69,04/25/15 05:05:40 AM,0.975,-0.025,-0.175,
70,04/25/15 05:05:45 AM,0.975,0.050,-0.150,
71,04/25/15 05:05:50 AM,0.975,-0.150,-0.175,
72,04/25/15 05:05:55 AM,0.975,0.050,-0.300,
73,04/25/15 05:06:00 AM,0.975,-0.175,-0.075,
74,04/25/15 05:06:05 AM,0.925,0.025,-0.375,
75,04/25/15 05:06:10 AM,0.975,0.000,-0.225,
76,04/25/15 05:06:15 AM,0.950,-0.125,-0.175,
77,04/25/15 05:06:20 AM,0.975,0.025,-0.250,
78,04/25/15 05:06:25 AM,0.975,-0.175,-0.125,
79,04/25/15 05:06:30 AM,0.950,0.025,-0.325,
80,04/25/15 05:06:35 AM,0.975,-0.125,-0.175,
81,04/25/15 05:06:40 AM,0.950,0.075,-0.275,
82,04/25/15 05:06:45 AM,0.975,-0.100,-0.150,
83,04/25/15 05:06:50 AM,0.975,0.025,-0.225,
84,04/25/15 05:06:55 AM,0.975,-0.125,-0.075,
85,04/25/15 05:07:00 AM,0.975,0.050,-0.225,
86,04/25/15 05:07:05 AM,0.975,0.000,-0.175,
87,04/25/15 05:07:10 AM,0.975,0.025,-0.225,
88,04/25/15 05:07:15 AM,0.975,-0.075,-0.125,
89,04/25/15 05:07:20 AM,0.975,0.000,-0.225,
90,04/25/15 05:07:25 AM,0.975,0.075,-0.275,
91,04/25/15 05:07:30 AM,0.975,-0.100,-0.125,
92,04/25/15 05:07:35 AM,0.950,0.050,-0.300,
93,04/25/15 05:07:40 AM,0.975,-0.050,-0.250,
94,04/25/15 05:07:45 AM,0.975,-0.025,-0.225,
95,04/25/15 05:07:50 AM,0.975,-0.050,-0.125,
96,04/25/15 05:07:55 AM,0.975,-0.075,-0.150,
97,04/25/15 05:08:00 AM,0.975,0.075,-0.225,
98,04/25/15 05:08:05 AM,0.975,-0.075,-0.100,
99,04/25/15 05:08:10 AM,0.975,0.050,-0.250,
100,04/25/15 05:08:15 AM,0.975,0.025,-0.075,
101,04/25/15 05:08:20 AM,0.975,-0.125,-0.100,
102,04/25/15 05:08:25 AM,0.975,0.025,-0.225,
103,04/25/15 05:08:30 AM,0.975,-0.025,-0.050,
104,04/25/15 05:08:35 AM,0.975,-0.075,-0.175,
105,04/25/15 05:08:40 AM,0.975,0.050,-0.100,
106,04/25/15 05:08:45 AM,0.975,-0.075,-0.200,
107,04/25/15 05:08:50 AM,0.950,0.050,-0.250,
108,04/25/15 05:08:55 AM,0.975,-0.175,-0.100,
109,04/25/15 05:09:00 AM,0.975,-0.025,-0.175,
110,04/25/15 05:09:05 AM,0.975,0.025,-0.250,
111,04/25/15 05:09:10 AM,0.975,-0.100,-0.075,
112,04/25/15 05:09:15 AM,0.975,0.025,-0.225,
113,04/25/15 05:09:20 AM,0.975,-0.025,-0.225,
114,04/25/15 05:09:25 AM,0.975,0.025,-0.250,
115,04/25/15 05:09:30 AM,0.975,-0.100,-0.275,
116,04/25/15 05:09:35 AM,0.975,-0.050,-0.200,
117,04/25/15 05:09:40 AM,0.975,-0.075,-0.175,
118,04/25/15 05:09:45 AM,0.975,0.050,-0.250,
