"Plot Title: G9903341_RSA_Robokelp_Apr15"
"#","Date Time, GMT+08:00","X Accel, g (LGR S/N: 9903341, SEN S/N: 9903341)","Y Accel, g (LGR S/N: 9903341, SEN S/N: 9903341)","Z Accel, g (LGR S/N: 9903341, SEN S/N: 9903341)","End Of File (LGR S/N: 9903341)"
1,04/25/15 05:00:00 AM,0.075,-0.175,1.050,
2,04/25/15 05:00:05 AM,0.025,-0.050,0.975,
3,04/25/15 05:00:10 AM,0.025,-0.150,0.975,
4,04/25/15 05:00:15 AM,-0.150,-0.225,0.975,
5,04/25/15 05:00:20 AM,0.000,-0.150,0.975,
6,04/25/15 05:00:25 AM,-0.100,-0.175,1.025,
7,04/25/15 05:00:30 AM,0.000,-0.175,1.000,
8,04/25/15 05:00:35 AM,0.025,-0.125,0.975,
9,04/25/15 05:00:40 AM,0.050,-0.175,1.000,
10,04/25/15 05:00:45 AM,0.200,-0.100,1.050,
11,04/25/15 05:00:50 AM,0.025,-0.125,0.975,
12,04/25/15 05:00:55 AM,0.125,-0.125,1.025,
13,04/25/15 05:01:00 AM,-0.025,-0.150,1.050,
14,04/25/15 05:01:05 AM,0.050,-0.150,0.975,
15,04/25/15 05:01:10 AM,0.025,-0.100,1.050,
16,04/25/15 05:01:15 AM,0.050,-0.125,1.025,
17,04/25/15 05:01:20 AM,0.175,0.025,0.975,
18,04/25/15 05:01:25 AM,0.150,0.000,1.075,
19,04/25/15 05:01:30 AM,0.050,-0.075,1.025,
20,04/25/15 05:01:35 AM,-0.025,-0.125,1.000,
21,04/25/15 05:01:40 AM,0.075,-0.125,1.000,
22,04/25/15 05:01:45 AM,0.150,-0.100,1.050,
23,04/25/15 05:01:50 AM,0.050,-0.175,1.050,
24,04/25/15 05:01:55 AM,0.125,-0.125,1.050,
25,04/25/15 05:02:00 AM,0.000,-0.125,1.025,
26,04/25/15 05:02:05 AM,0.025,-0.175,1.025,
27,04/25/15 05:02:10 AM,0.025,-0.250,1.025,
28,04/25/15 05:02:15 AM,0.000,-0.125,0.975,
29,04/25/15 05:02:20 AM,0.125,-0.100,1.100,
30,04/25/15 05:02:25 AM,-0.050,-0.150,1.025,
31,04/25/15 05:02:30 AM,-0.100,-0.150,0.975,
32,04/25/15 05:02:35 AM,0.075,-0.050,1.000,
33,04/25/15 05:02:40 AM,-0.025,-0.175,1.050,
34,04/25/15 05:02:45 AM,-0.175,-0.175,1.000,
35,04/25/15 05:02:50 AM,-0.075,-0.150,1.025,
36,04/25/15 05:02:55 AM,0.050,-0.100,1.025,
37,04/25/15 05:03:00 AM,-0.100,-0.125,0.975,
38,04/25/15 05:03:05 AM,0.100,-0.100,1.025,
39,04/25/15 05:03:10 AM,0.025,-0.125,1.025,
40,04/25/15 05:03:15 AM,0.025,-0.075,1.000,
41,04/25/15 05:03:20 AM,-0.075,-0.200,1.000,
42,04/25/15 05:03:25 AM,0.175,-0.075,1.000,
43,04/25/15 05:03:30 AM,0.025,-0.125,1.025,
44,04/25/15 05:03:35 AM,-0.200,-0.175,0.925,
45,04/25/15 05:03:40 AM,-0.025,-0.125,1.000,
46,04/25/15 05:03:45 AM,0.025,-0.100,1.025,
47,04/25/15 05:03:50 AM,0.425,-0.025,0.975,
48,04/25/15 05:03:55 AM,0.150,-0.150,1.075,
49,04/25/15 05:04:00 AM,0.100,-0.100,1.025,
50,04/25/15 05:04:05 AM,0.275,-0.200,1.025,
51,04/25/15 05:04:10 AM,-0.075,-0.150,1.025,
52,04/25/15 05:04:15 AM,0.175,-0.075,1.100,
53,04/25/15 05:04:20 AM,-0.025,-0.175,1.025,
54,04/25/15 05:04:25 AM,0.125,-0.100,1.050,
55,04/25/15 05:04:30 AM,-0.150,-0.175,0.900,
56,04/25/15 05:04:35 AM,0.125,-0.075,1.050,
57,04/25/15 05:04:40 AM,0.075,-0.125,1.050,
58,04/25/15 05:04:45 AM,-0.075,-0.225,0.900,
59,04/25/15 05:04:50 AM,-0.050,-0.175,0.975,
60,04/25/15 05:04:55 AM,0.125,-0.125,1.050,
61,04/25/15 05:05:00 AM,0.025,-0.150,0.975,
62,04/25/15 05:05:05 AM,-0.175,-0.225,0.950,
63,04/25/15 05:05:10 AM,0.075,-0.075,1.025,
64,04/25/15 05:05:15 AM,0.000,-0.150,1.075,
65,04/25/15 05:05:20 AM,0.100,-0.175,1.075,
66,04/25/15 05:05:25 AM,0.075,-0.125,0.975,
67,04/25/15 05:05:30 AM,-0.025,-0.075,1.025,
68,04/25/15 05:05:35 AM,0.075,-0.175,1.050,
69,04/25/15 05:05:40 AM,-0.075,-0.100,0.975,
70,04/25/15 05:05:45 AM,0.025,-0.150,1.025,
71,04/25/15 05:05:50 AM,0.050,-0.075,1.050,
72,04/25/15 05:05:55 AM,0.025,-0.025,1.025,
73,04/25/15 05:06:00 AM,0.025,-0.200,0.975,
74,04/25/15 05:06:05 AM,0.025,-0.075,1.050,
75,04/25/15 05:06:10 AM,-0.075,-0.175,0.975,
76,04/25/15 05:06:15 AM,0.125,-0.125,1.025,
77,04/25/15 05:06:20 AM,0.075,-0.200,1.025,
78,04/25/15 05:06:25 AM,0.025,-0.125,0.975,
79,04/25/15 05:06:30 AM,0.000,-0.150,1.025,
80,04/25/15 05:06:35 AM,0.075,0.000,1.000,
81,04/25/15 05:06:40 AM,0.100,-0.150,1.050,
82,04/25/15 05:06:45 AM,-0.025,-0.125,1.000,
83,04/25/15 05:06:50 AM,0.075,-0.100,1.025,
84,04/25/15 05:06:55 AM,-0.075,-0.075,1.025,
85,04/25/15 05:07:00 AM,-0.025,-0.175,0.975,
86,04/25/15 05:07:05 AM,0.025,-0.125,1.025,
87,04/25/15 05:07:10 AM,0.075,-0.125,1.050,
88,04/25/15 05:07:15 AM,0.000,-0.175,0.975,
89,04/25/15 05:07:20 AM,-0.100,-0.075,0.975,
90,04/25/15 05:07:25 AM,0.000,-0.100,1.000,
91,04/25/15 05:07:30 AM,-0.150,-0.025,0.975,
92,04/25/15 05:07:35 AM,-0.225,-0.100,0.925,
93,04/25/15 05:07:40 AM,-0.025,-0.150,0.975,
94,04/25/15 05:07:45 AM,-0.100,-0.125,0.975,
95,04/25/15 05:07:50 AM,-0.025,-0.150,1.025,
96,04/25/15 05:07:55 AM,0.000,-0.125,1.025,
97,04/25/15 05:08:00 AM,0.150,-0.125,1.075,
98,04/25/15 05:08:05 AM,0.050,-0.025,1.025,
99,04/25/15 05:08:10 AM,-0.175,-0.275,0.975,
100,04/25/15 05:08:15 AM,0.000,-0.150,1.000,
101,04/25/15 05:08:20 AM,-0.225,-0.250,0.900,
102,04/25/15 05:08:25 AM,0.025,-0.175,1.050,
103,04/25/15 05:08:30 AM,0.125,-0.175,1.025,
104,04/25/15 05:08:35 AM,0.100,-0.125,1.025,
105,04/25/15 05:08:40 AM,0.075,-0.100,1.025,
106,04/25/15 05:08:45 AM,0.050,-0.100,1.050,
107,04/25/15 05:08:50 AM,0.050,-0.150,1.025,
108,04/25/15 05:08:55 AM,0.125,-0.125,1.100,
109,04/25/15 05:09:00 AM,0.075,-0.150,1.000,
110,04/25/15 05:09:05 AM,0.275,-0.600,0.800,
111,04/25/15 05:09:10 AM,0.025,-0.125,1.050,
112,04/25/15 05:09:15 AM,-0.150,-0.100,0.975,
113,04/25/15 05:09:20 AM,-0.075,-0.050,0.950,
114,04/25/15 05:09:25 AM,0.100,-0.175,1.025,
115,04/25/15 05:09:30 AM,-0.175,-0.275,0.950,
116,04/25/15 05:09:35 AM,0.075,-0.100,1.050,
117,04/25/15 05:09:40 AM,0.000,-0.150,1.025,
118,04/25/15 05:09:45 AM,0.150,-0.225,1.075,
119,04/25/15 05:09:50 AM,-0.175,-0.050,0.975,
120,04/25/15 05:09:55 AM,-0.100,-0.175,0.975,
121,04/25/15 05:10:00 AM,0.050,-0.100,1.025,
122,04/25/15 05:10:05 AM,-0.175,-0.125,0.950,
123,04/25/15 05:10:10 AM,-0.100,-0.175,1.000,
124,04/25/15 05:10:15 AM,-0.175,-0.125,1.025,
125,04/25/15 05:10:20 AM,-0.150,-0.125,0.950,
126,04/25/15 05:10:25 AM,0.100,-0.175,1.000,
127,04/25/15 05:10:30 AM,-0.025,-0.225,0.975,
128,04/25/15 05:10:35 AM,0.100,-0.150,0.975,
129,04/25/15 05:10:40 AM,0.000,-0.125,1.025,
130,04/25/15 05:10:45 AM,0.025,-0.125,1.000,
131,04/25/15 05:10:50 AM,0.125,-0.125,1.000,
132,04/25/15 05:10:55 AM,0.075,-0.025,1.025,
133,04/25/15 05:11:00 AM,-0.150,-0.200,0.975,
134,04/25/15 05:11:05 AM,-0.150,-0.150,0.925,
135,04/25/15 05:11:10 AM,0.125,-0.075,1.000,
136,04/25/15 05:11:15 AM,0.000,-0.075,0.975,
137,04/25/15 05:11:20 AM,0.025,-0.100,0.975,
138,04/25/15 05:11:25 AM,-0.125,-0.150,0.975,
139,04/25/15 05:11:30 AM,0.000,-0.200,1.025,
140,04/25/15 05:11:35 AM,-0.125,-0.100,0.950,
141,04/25/15 05:11:40 AM,-0.075,-0.125,0.975,
142,04/25/15 05:11:45 AM,0.150,-0.125,1.000,
143,04/25/15 05:11:50 AM,0.025,-0.075,0.975,
144,04/25/15 05:11:55 AM,0.175,-0.075,1.050,
145,04/25/15 05:12:00 AM,0.025,-0.200,1.025,
146,04/25/15 05:12:05 AM,0.025,-0.125,1.025,
147,04/25/15 05:12:10 AM,0.050,-0.175,1.025,
148,04/25/15 05:12:15 AM,0.125,-0.100,1.000,
149,04/25/15 05:12:20 AM,0.000,-0.125,1.050,
150,04/25/15 05:12:25 AM,0.075,-0.200,1.075,
151,04/25/15 05:12:30 AM,-0.025,-0.100,0.975,
152,04/25/15 05:12:35 AM,0.000,-0.125,1.050,
153,04/25/15 05:12:40 AM,0.125,-0.100,1.025,
154,04/25/15 05:12:45 AM,-0.100,-0.175,1.025,
155,04/25/15 05:12:50 AM,0.000,-0.175,0.975,
156,04/25/15 05:12:55 AM,0.050,-0.175,1.050,
157,04/25/15 05:13:00 AM,0.075,-0.125,1.000,
158,04/25/15 05:13:05 AM,0.025,-0.025,1.025,
